variables,type,units,values,description
rotorse.ccblade.Uhub,input,m/s,5.0,Undisturbed wind speed
rotorse.tsr,input,,9.0,Tip speed ratio
rotorse.pitch,input,deg,0.0,Pitch angle
rotorse.ccblade.s_opt_chord,input,,"[0.0, 0.034482758620689655, 0.06896551724137931, 0.10344827586206896, 0.13793103448275862, 0.1724137931034483, 0.20689655172413793, 0.24137931034482757, 0.27586206896551724, 0.3103448275862069, 0.3448275862068966, 0.3793103448275862, 0.41379310344827586, 0.4482758620689655, 0.48275862068965514, 0.5172413793103449, 0.5517241379310345, 0.5862068965517241, 0.6206896551724138, 0.6551724137931034, 0.6896551724137931, 0.7241379310344828, 0.7586206896551724, 0.7931034482758621, 0.8275862068965517, 0.8620689655172413, 0.896551724137931, 0.9310344827586207, 0.9655172413793103, 1.0]",1D array of the non-dimensional spanwise grid defined along blade axis to optimize the blade chord
rotorse.ccblade.s_opt_theta,input,,"[0.0, 0.034482758620689655, 0.06896551724137931, 0.10344827586206896, 0.13793103448275862, 0.1724137931034483, 0.20689655172413793, 0.24137931034482757, 0.27586206896551724, 0.3103448275862069, 0.3448275862068966, 0.3793103448275862, 0.41379310344827586, 0.4482758620689655, 0.48275862068965514, 0.5172413793103449, 0.5517241379310345, 0.5862068965517241, 0.6206896551724138, 0.6551724137931034, 0.6896551724137931, 0.7241379310344828, 0.7586206896551724, 0.7931034482758621, 0.8275862068965517, 0.8620689655172413, 0.896551724137931, 0.9310344827586207, 0.9655172413793103, 1.0]",1D array of the non-dimensional spanwise grid defined along blade axis to optimize the blade twist
rotorse.ccblade.aoa_op,input,rad,"[3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793]",1D array with the operational angles of attack for the airfoils along blade span.
rotorse.airfoils_aoa,input,deg,"[-180.0, -177.0, -174.0, -171.0, -168.0, -165.0, -162.0, -159.0, -156.0, -153.0, -149.99999999999997, -147.0, -144.0, -140.99999999999997, -138.0, -135.0, -131.99999999999997, -129.0, -126.0, -122.99999999999999, -119.99999999999999, -117.0, -114.0, -110.99999999999999, -108.0, -105.0, -101.99999999999999, -98.99999999999999, -96.0, -92.99999999999999, -89.99999999999999, -87.0, -83.99999999999999, -80.99999999999999, -78.0, -74.99999999999999, -71.99999999999999, -69.0, -65.99999999999999, -63.0, -59.999999999999986, -56.99999999999999, -54.0, -50.999999999999986, -47.99999999999999, -45.0, -41.999999999999986, -38.99999999999999, -36.0, -32.999999999999986, -29.999999999999996, -29.393939393939394, -28.787878787878785, -28.18181818181818, -27.575757575757574, -26.969696969696965, -26.363636363636363, -25.757575757575754, -25.15151515151515, -24.545454545454543, -23.939393939393938, -23.33333333333333, -22.727272727272727, -22.12121212121212, -21.515151515151512, -20.90909090909091, -20.3030303030303, -19.696969696969695, -19.09090909090909, -18.484848484848484, -17.878787878787875, -17.272727272727273, -16.666666666666664, -16.06060606060606, -15.454545454545455, -14.848484848484848, -14.24242424242424, -13.636363636363633, -13.03030303030303, -12.424242424242424, -11.818181818181817, -11.212121212121213, -10.606060606060606, -9.999999999999998, -9.393939393939394, -8.787878787878787, -8.18181818181818, -7.575757575757576, -6.96969696969697, -6.363636363636362, -5.757575757575755, -5.151515151515151, -4.545454545454545, -3.9393939393939377, -3.333333333333334, -2.7272727272727266, -2.1212121212121198, -1.515151515151516, -0.9090909090909121, -0.30303030303030193, 0.30303030303030193, 0.9090909090909121, 1.515151515151516, 2.1212121212121198, 2.72727272727273, 3.333333333333334, 3.9393939393939377, 4.545454545454548, 5.151515151515151, 5.757575757575755, 6.363636363636366, 6.96969696969697, 7.5757575757575735, 8.181818181818183, 8.787878787878787, 9.393939393939391, 10.000000000000002, 10.606060606060606, 11.21212121212121, 11.818181818181818, 12.424242424242424, 13.030303030303028, 13.636363636363637, 14.24242424242424, 14.848484848484844, 15.454545454545455, 16.06060606060606, 16.666666666666664, 17.272727272727273, 17.878787878787875, 18.484848484848488, 19.09090909090909, 19.696969696969695, 20.303030303030305, 20.90909090909091, 21.515151515151512, 22.12121212121212, 22.727272727272727, 23.33333333333333, 23.93939393939394, 24.545454545454543, 25.15151515151515, 25.757575757575758, 26.363636363636363, 26.969696969696965, 27.57575757575757, 28.181818181818173, 28.78787878787879, 29.393939393939394, 29.999999999999996, 32.99999999999999, 36.0, 39.0, 41.99999999999999, 45.0, 48.0, 50.99999999999999, 54.0, 57.00000000000001, 60.00000000000001, 63.0, 65.99999999999999, 69.00000000000001, 72.0, 75.0, 78.00000000000001, 81.0, 84.0, 87.00000000000001, 90.0, 92.99999999999999, 96.00000000000001, 99.0, 101.99999999999999, 105.00000000000001, 108.0, 111.00000000000001, 114.00000000000001, 117.0, 120.00000000000001, 123.00000000000001, 126.0, 129.00000000000003, 132.0, 135.0, 138.00000000000003, 141.0, 144.0, 147.0, 150.0, 153.0, 156.0, 159.0, 162.0, 165.0, 168.0, 171.0, 174.0, 177.0, 180.0]",angle of attack grid for polars
rotorse.airfoils_Re,input,,"[3000000.0, 8100000.0, 10000000.0]",Reynolds numbers of polars
rotorse.precone,input,deg,4.0,precone angle
rotorse.tilt,input,deg,6.0,shaft tilt
