variables,type,units,values,description
env1.wind.U,output,m/s,"[0.0, 8.158137379714614, 9.371238987917998, 10.16284414354436, 10.764726809705484, 11.256024125067727, 11.674042349780658]",
env1.windLoads.windLoads_Px,output,N/m,"[0.0, 153.71553661127714, 168.2591010840852, 152.9239219923508, 171.59711922381467, 186.57677505331458, 198.8878313199889]",
env1.windLoads.windLoads_Py,output,N/m,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
env1.windLoads.windLoads_Pz,output,N/m,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
env1.windLoads.windLoads_qdyn,output,N/m**2,"[0.0, 40.765063372606804, 53.789823603313046, 63.261083165159015, 70.97609776365012, 77.60257345126534, 83.47349968048928]",
env1.windLoads.windLoads_z,output,m,"[0.0, 14.599999999999998, 29.199999999999996, 43.8, 58.39999999999999, 72.99999999999999, 87.6]",
env1.windLoads.windLoads_beta,output,deg,0.0,
env2.Px,output,N/m,"[0.0, 7016.411037436151, 7632.243738260155, 6882.244327637181, 7719.9797788202995, 8405.334019197559, 8975.908423016774]",
env2.Py,output,N/m,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
env2.Pz,output,N/m,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
env2.qdyn,output,N/m**2,"[0.0, 1449.9275822464074, 1913.1909148219506, 2250.063701006886, 2524.4705469263954, 2760.160352796165, 2968.9768532215226]",
env2.wind.U,output,m/s,"[0.0, 48.65417459692868, 55.8889703232305, 60.610010636849395, 64.19956827277299, 67.12960784529525, 69.6226195149017]",
env2.windLoads.windLoads_Px,output,N/m,"[0.0, 7016.411037436151, 7632.243738260155, 6882.244327637181, 7719.9797788202995, 8405.334019197559, 8975.908423016774]",
env2.windLoads.windLoads_Py,output,N/m,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
env2.windLoads.windLoads_Pz,output,N/m,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
env2.windLoads.windLoads_qdyn,output,N/m**2,"[0.0, 1449.9275822464074, 1913.1909148219506, 2250.063701006886, 2524.4705469263954, 2760.160352796165, 2968.9768532215226]",
env2.windLoads.windLoads_z,output,m,"[0.0, 14.599999999999998, 29.199999999999996, 43.8, 58.39999999999999, 72.99999999999999, 87.6]",
env2.windLoads.windLoads_beta,output,deg,0.0,
g2e1.Px,output,N/m,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
g2e1.Py,output,N/m,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
g2e1.Pz,output,N/m,"[0.0, -153.71553661127714, -168.2591010840852, -152.9239219923508, -171.59711922381467, -186.57677505331458, -198.8878313199889]",
g2e1.qdyn,output,Pa,"[0.0, 40.765063372606804, 53.789823603313046, 63.261083165159015, 70.97609776365012, 77.60257345126534, 83.47349968048928]",
g2e2.Px,output,N/m,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
g2e2.Py,output,N/m,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
g2e2.Pz,output,N/m,"[0.0, -7016.411037436151, -7632.243738260155, -6882.244327637181, -7719.9797788202995, -8405.334019197559, -8975.908423016774]",
g2e2.qdyn,output,Pa,"[0.0, 1449.9275822464074, 1913.1909148219506, 2250.063701006886, 2524.4705469263954, 2760.160352796165, 2968.9768532215226]",
post.axial_stress,output,Pa,"[[163620889.18229672, 121763833.06053333], [180851215.09923542, 133814122.023406], [199449716.70051435, 146509434.49744448], [195219591.77149382, 142371190.0001329], [103745551.78700703, 74500938.15735635], [36947738.84337076, 29107601.20120912]]",
post.shear_stress,output,Pa,"[[5629396.839358316, 3994084.2994830906], [6678452.278623977, 4723245.149009359], [8203465.37527358, 5775323.684374759], [10733573.707531337, 7532840.183117431], [10919969.089096237, 7662617.679900278], [11109017.527972022, 7793098.034613395]]",
post.hoop_stress,output,Pa,"[[-3367.723645256797, -119782.84831816258], [-6643.586972044864, -236298.41827484334], [-6778.466045582499, -241095.78329308282], [-7932.615036411789, -282146.4359200515], [-8645.375152476516, -307497.8144365351], [-9226.494522339823, -328167.008428483]]",
post.hoop_stress_euro,output,Pa,"[[-2189.020369416918, -77858.85140680568], [-4318.331531829162, -153593.97187864818], [-4406.002929628625, -156712.25914050383], [-5156.199773667663, -183395.18334803346], [-5619.4938491097355, -199873.57938374783], [-5997.221439520885, -213308.55547851394]]",
post.constr_stress,output,,"[[0.6392600477759149, 0.4758781332245894], [0.7067739286830983, 0.5233099913265465], [0.7798384455958256, 0.5731866821510762], [0.7648164154294166, 0.5581230565789379], [0.4112932989215037, 0.29572032169411694], [0.16248109586914233, 0.1257173590988928]]",
post.constr_shell_buckling,output,,"[[0.9999999992387252, 0.6127026030607559], [0.9936415592964185, 0.5965946885886206], [1.0000000003064973, 0.5846262791829486], [0.9999999994556602, 0.578774402412417], [0.35250746801448984, 0.20074500836119868], [0.0883240395697717, 0.057921229668756874]]",
post.constr_global_buckling,output,,"[[0.6676373636536678, 0.5344439675608726], [0.7459525023824234, 0.597933029866207], [0.8522983985793379, 0.6883010601544268], [0.9016440516063583, 0.7392721338433433], [0.5985162661479916, 0.5078660532458684], [0.3751708082705626, 0.34798570916884675]]",
tower.f1,output,Hz,0.247261605803669,
tower.f2,output,Hz,0.26386577159019275,
tower.structural_frequencies,output,Hz,"[0.247261605803669, 0.26386577159019275, 1.0176288283152086, 1.214755241685765, 1.8985972124967792, 3.984103827806316]",
tower.fore_aft_modes,output,,"[[0.8522774567646689, -1.2352609200390594, 4.072301975589006, -3.7224810331573854, 1.0331625208428261], [-1062.7751837897615, 1268.4588307834526, -3188.7976183216315, 5445.699814755549, -2462.4366589514675], [-74.57110189180827, -45.803969479188815, 399.1508722593536, -320.16202343318065, 42.386222544824456]]",
tower.side_side_modes,output,,"[[0.8041497480878421, -1.159741657486074, 3.849254707540387, -3.405624546839774, 0.9119617486975574], [8.797074140034368, -12.896536507326113, 37.41343536949621, -53.085891418182186, 20.77191841597754], [-60.431379477135614, -11.628869429812136, 200.75838688818178, -107.10716721153644, -20.590970769697826]]",
tower.torsion_modes,output,,"[[8.377751889712904, -35.037079823663845, 69.35092605481553, -62.83503564756766, 21.143437526703007], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0]]",
tower.fore_aft_freqs,output,Hz,"[0.26386577159019275, 1.8985972124967792, 4.450442729887433]",
tower.side_side_freqs,output,Hz,"[0.247261605803669, 1.0176288283152086, 3.984103827806316]",
tower.torsion_freqs,output,Hz,"[6.816141846486968, 0.0, 0.0]",
tower.tower_deflection,output,m,"[[0.0, 0.0], [0.02798845433210177, 0.020082604451003135], [0.11789078867041607, 0.08450318377494184], [0.29270571389447037, 0.20951235600612672], [0.5750110343655659, 0.4107260761692592], [0.9492959790374488, 0.6763131716856674], [1.3691450439484545, 0.9723998787991522]]",
tower.top_deflection,output,m,"[1.3691450439484545, 0.9723998787991522]",
tower.tower_Fz,output,N,"[[-4544592.622056397, -5059650.423935822], [-4105162.3238747856, -4516681.208264228], [-3742576.0671883076, -4051519.9310538517], [-3462389.8984045135, -3668148.7953211386], [-3186224.1643253956, -3278033.9326571384], [-2914124.844005121, -2883106.12368949]]",
tower.tower_Vx,output,N,"[[1285238.4043869115, 930576.6322370842], [1286097.8934733793, 931397.019623898], [1286916.2528408542, 932204.6731474921], [1287453.2592315823, 932837.2813826948], [1288280.5799453706, 933744.9353920519], [1288647.8186224997, 934202.6490297467]]",
tower.tower_Vy,output,N,"[[-18.765764536336064, 8.53598613559734], [-58.02487879083492, 30.58131721999962], [-107.4146036352031, 59.15196234197356], [-160.36497919354588, 93.35996334557422], [-253.8755525201559, 152.6752626481466], [-346.8634190177545, 214.37659653648734]]",
tower.tower_Mxx,output,N*m,"[[4290877.763432895, -1831495.2536678775], [4273372.652325834, -1823180.615096555], [4237898.836773356, -1806529.7130356994], [4175375.814008143, -1777668.6551501239], [4082441.520206839, -1735707.0848135897], [3963851.324185379, -1683742.331208717]]",
