variables,type,units,values,description
towerse.env1.windLoads.U,intermediate,m/s,"[ 0.          8.20235752  9.42203459 10.21793054 10.82307563 11.31703596
 11.73732   ]",
towerse.outer_diameter_full,output,m,[6.    5.645 5.29  4.935 4.58  4.225 3.87 ],
towerse.env2.distLoads.windLoads_Px,intermediate,N/m,"[   0.         6506.04721914 8326.99081083 9189.92845355 9486.83534284
 9404.47282605 9059.01871719]",
towerse.env2.distLoads.windLoads_Py,intermediate,N/m,[0. 0. 0. 0. 0. 0. 0.],
towerse.env2.distLoads.windLoads_Pz,intermediate,N/m,[0. 0. 0. 0. 0. 0. 0.],
towerse.env2.distLoads.windLoads_qdyn,intermediate,N/m**2,"[   0.         1465.68847497 1933.98753745 2274.52217262 2551.911855
 2790.16363831 3001.25      ]",
towerse.env2.distLoads.windLoads_z,intermediate,m,[ 0. 15. 30. 45. 60. 75. 90.],
towerse.env2.distLoads.windLoads_beta,intermediate,deg,[0.],
towerse.env2.windLoads.U,intermediate,m/s,"[ 0.         48.91789831 56.19190932 60.93853943 64.5475538  67.49347528
 70.        ]",
towerse.joint1,output,m,[0. 0. 0.],
towerse.joint2,output,m,[ 0.  0. 90.],
towerse.s_full,output,m,"[0.         0.16666667 0.33333333 0.5        0.66666667 0.83333333
 1.        ]",
towerse.g2e1.Px_global,intermediate,N/m,"[  0.         143.91455247 182.00745621 200.40117732 207.58001213
 207.0892654  200.80448402]",
towerse.g2e1.Py_global,intermediate,N/m,[0. 0. 0. 0. 0. 0. 0.],
towerse.g2e1.Pz_global,intermediate,N/m,[0. 0. 0. 0. 0. 0. 0.],
towerse.g2e1.qdyn_global,intermediate,Pa,"[ 0.         41.20818467 54.37452566 63.94873899 71.74761675 78.44612305
 84.38086698]",
towerse.g2e2.Px_global,intermediate,N/m,"[   0.         6506.04721914 8326.99081083 9189.92845355 9486.83534284
 9404.47282605 9059.01871719]",
towerse.g2e2.Py_global,intermediate,N/m,[0. 0. 0. 0. 0. 0. 0.],
towerse.g2e2.Pz_global,intermediate,N/m,[0. 0. 0. 0. 0. 0. 0.],
towerse.g2e2.qdyn_global,intermediate,Pa,"[   0.         1465.68847497 1933.98753745 2274.52217262 2551.911855
 2790.16363831 3001.25      ]",
towerse.lc1:Px,intermediate,N/m,[0. 0. 0. 0. 0. 0. 0.],
towerse.lc1:Py,intermediate,N/m,[0. 0. 0. 0. 0. 0. 0.],
towerse.lc1:Pz,intermediate,N/m,"[   0.         -143.91455247 -182.00745621 -200.40117732 -207.58001213
 -207.0892654  -200.80448402]",
towerse.lc1:qdyn,intermediate,Pa,"[ 0.         41.20818467 54.37452566 63.94873899 71.74761675 78.44612305
 84.38086698]",
towerse.lc2:Px,intermediate,N/m,[0. 0. 0. 0. 0. 0. 0.],
towerse.lc2:Py,intermediate,N/m,[0. 0. 0. 0. 0. 0. 0.],
towerse.lc2:Pz,intermediate,N/m,"[    0.         -6506.04721914 -8326.99081083 -9189.92845355
 -9486.83534284 -9404.47282605 -9059.01871719]",
towerse.lc2:qdyn,intermediate,Pa,"[   0.         1465.68847497 1933.98753745 2274.52217262 2551.911855
 2790.16363831 3001.25      ]",
towerse.z_full,output,m,[ 0. 15. 30. 45. 60. 75. 90.],
towerse.t_full,output,m,[0.0246 0.0246 0.0246 0.0206 0.0206 0.0206],
towerse.tower_height,intermediate,m,[90.],
towerse.E_full,output,Pa,[2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11],
towerse.G_full,output,Pa,[7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10],
towerse.rho_full,output,kg/m**3,[7800. 7800. 7800. 7800. 7800. 7800.],
towerse.sigma_y_full,output,Pa,[3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08],
towerse.section_A,output,m**2,[0.47944576 0.45008974 0.42073372 0.32801604 0.30343336 0.27885068],
towerse.section_Asx,output,m**2,[0.27258364 0.2559255  0.23926742 0.18649883 0.17254935 0.15859996],
towerse.section_Asy,output,m**2,[0.27258364 0.2559255  0.23926742 0.18649883 0.17254935 0.15859996],
towerse.section_Ixx,output,kg*m**2,[2.01464602 1.66678164 1.36145918 0.92002949 0.72829591 0.56524247],
towerse.section_Iyy,output,kg*m**2,[2.01464602 1.66678164 1.36145918 0.92002949 0.72829591 0.56524247],
towerse.section_J0,output,kg*m**2,[4.02929204 3.33356328 2.72291835 1.84005897 1.45659181 1.13048493],
towerse.section_rho,output,kg/m**3,[7800. 7800. 7800. 7800. 7800. 7800.],
towerse.section_E,output,Pa,[2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11],
towerse.section_G,output,Pa,[7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10],
towerse.section_L,output,m,[15. 15. 15. 15. 15. 15.],
towerse.post.cylinder_Fz,intermediate,N,"[[-4972076.27502653 -5582894.23697993]
 [-4453250.08472071 -4956352.69969627]
 [-3967685.84805059 -4343564.7134186 ]
 [-3588310.46952875 -3828543.62156728]
 [-3237090.13374174 -3340134.23535901]
 [-2914124.84400512 -2883106.12368949]]",
towerse.post.cylinder_Vx,intermediate,N,"[[1285330.91836013  930644.45135909]
 [1286335.79837818  931569.96328973]
 [1287177.39400341  932394.96674691]
 [1287388.29107961  932766.5855324 ]
 [1287799.88838851  933233.69954021]
 [1287882.2630758   933357.37249868]]",
towerse.post.cylinder_Vy,intermediate,N,"[[ -21.53975112    9.72450757]
 [ -65.0203353    33.31598827]
 [-111.59204184   59.9744945 ]
 [-140.89014776   81.62307871]
 [-196.86787369  116.9890197 ]
 [-257.90347891  156.09517639]]",
towerse.post.cylinder_Mxx,intermediate,N*m,"[[ 4195250.06133678 -1789318.89041207]
 [ 4176562.06504651 -1780372.13665228]
 [ 4145867.27608201 -1765806.84698749]
 [ 4101676.17962577 -1745191.41611634]
 [ 4041357.37979785 -1717780.08550768]
 [ 3963839.89414827 -1683733.94301481]]",
towerse.post.cylinder_Myy,intermediate,N*m,"[[97913806.02257442 70191372.50888553]
 [78185487.65802771 55870357.34363329]
 [58245379.91674052 41384206.24031743]
 [38145412.98059477 26782966.91670732]
 [17938650.49692315 12119212.35812531]
 [-2274931.50226486 -2522330.20559959]]",
towerse.post.cylinder_Mzz,intermediate,N*m,"[[-346832.06676985  147325.92244633]
 [-346829.99694222  147325.01454011]
 [-346827.97443409  147323.85565154]
 [-346834.58628055  147326.57159686]
 [-346833.40382261  147325.41116305]
 [-346832.45455505  147324.22347456]]",
towerse.qdyn,output,Pa,"[[   0.            0.        ]
 [  41.20818467 1465.68847497]
 [  54.37452566 1933.98753745]
 [  63.94873899 2274.52217262]
 [  71.74761675 2551.911855  ]
 [  78.44612305 2790.16363831]
 [  84.38086698 3001.25      ]]",
towerse.nodes_xyz,output,m,"[[ 0.  0.  0.]
 [ 0.  0. 15.]
 [ 0.  0. 30.]
 [ 0.  0. 45.]
 [ 0.  0. 60.]
 [ 0.  0. 75.]
 [ 0.  0. 90.]]",
towerse.Px,output,N/m,"[[0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]]",
towerse.Py,output,N/m,"[[0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]]",
towerse.Pz,output,N/m,"[[    0.             0.        ]
 [ -143.91455247 -6506.04721914]
 [ -182.00745621 -8326.99081083]
 [ -200.40117732 -9189.92845355]
 [ -207.58001213 -9486.83534284]
 [ -207.0892654  -9404.47282605]
 [ -200.80448402 -9059.01871719]]",
towerse.tower_mass,output,kg,[264486.60964614],
towerse.tower_center_of_mass,output,m,[39.81558198],
towerse.tower_I_base,output,kg*m**2,"[5.92405408e+08 5.92405408e+08 1.70009364e+06 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",
towerse.member.gc.d,intermediate,m,[6.    4.935 3.87 ],
towerse.member.gc.t,intermediate,m,[0.0246 0.0206],
towerse.member.s,output,,[0.  0.5 1. ],
towerse.member.height,output,m,[90.],
towerse.tower_outer_diameter,output,m,[6.    4.935 3.87 ],
towerse.tower_wall_thickness,output,m,[0.0246 0.0206],
towerse.member.E,output,Pa,[2.e+11 2.e+11],
towerse.member.G,output,Pa,[7.93e+10 7.93e+10],
towerse.member.sigma_y,output,Pa,[3.45e+08 3.45e+08],
towerse.member.rho,output,kg/m**3,[7800. 7800.],
towerse.member.unit_cost,output,USD/kg,[0.7 0.7],
towerse.member.outfitting_factor,output,,[1.07 1.07],
towerse.tower_s,intermediate,,[0.  0.5 1. ],
towerse.outfitting_full,output,,[1.07 1.07 1.07 1.07 1.07 1.07],
towerse.member.unit_cost_full,output,USD/kg,[0.7 0.7 0.7 0.7 0.7 0.7],
towerse.hub_height,intermediate,m,[90.],
towerse.foundation_height,intermediate,m,[0.],
tower_grid.ref_axis,intermediate,m,"[[ 0.  0.  0.]
 [ 0.  0. 45.]
 [ 0.  0. 90.]]","2D array of the coordinates (x,y,z) of the tower reference axis. The coordinate system is the global coordinate system of OpenFAST: it is placed at tower base with x pointing downwind, y pointing on the side and z pointing vertically upwards. A standard tower configuration will have zero x and y values and positive z values."
towerse.env1.Px,output,N/m,"[  0.         143.91455247 182.00745621 200.40117732 207.58001213
 207.0892654  200.80448402]",
towerse.env1.Py,output,N/m,[0. 0. 0. 0. 0. 0. 0.],
towerse.env1.Pz,output,N/m,[0. 0. 0. 0. 0. 0. 0.],
towerse.env1.qdyn,output,N/m**2,"[ 0.         41.20818467 54.37452566 63.94873899 71.74761675 78.44612305
 84.38086698]",
towerse.env1.wind.U,output,m/s,"[ 0.          8.20235752  9.42203459 10.21793054 10.82307563 11.31703596
 11.73732   ]",
towerse.env1.windLoads.windLoads_Px,output,N/m,"[  0.         143.91455247 182.00745621 200.40117732 207.58001213
 207.0892654  200.80448402]",
towerse.env1.windLoads.windLoads_Py,output,N/m,[0. 0. 0. 0. 0. 0. 0.],
towerse.env1.windLoads.windLoads_Pz,output,N/m,[0. 0. 0. 0. 0. 0. 0.],
towerse.env1.windLoads.windLoads_qdyn,output,N/m**2,"[ 0.         41.20818467 54.37452566 63.94873899 71.74761675 78.44612305
 84.38086698]",
towerse.env1.windLoads.windLoads_z,output,m,[ 0. 15. 30. 45. 60. 75. 90.],
towerse.env1.windLoads.windLoads_beta,output,deg,[0.],
