variables,type,units,values,description
carrier_I,output,kg*m**2,[2762.424 1381.212 1381.212],
lss_E,output,Pa,[2.05e+11],
lss_G,output,Pa,[8.e+10],
lss_Xy,output,Pa,[4.85e+08],
H_bedplate,output,m,[1.41895249],
L_bedplate,output,m,[7.58000527],
R_generator,output,m,[0.945],
generator_cm,intermediate,m,[-4.0897873],
rho_fiberglass,intermediate,kg/m**3,[1940.],
rho_castiron,intermediate,kg/m**3,[7200.],
mb1_cm,intermediate,m,[0.7033716],
mb2_cm,intermediate,m,[0.44076261],
gearbox_cm,intermediate,m,[-0.60423739],
hss_mass,output,kg,[1573.17816214],
hss_cm,output,m,[-2.30730119],
hss_I,output,kg*m**2,[ 71.10616467 346.68761055 346.68761055],
brake_cm,output,m,[-0.30211869],
generator_stator_mass,output,kg,[9597.87218602],
generator_stator_I,output,kg*m**2,[4285.56990446 5342.0756809  5342.0756809 ],
lss_mass,output,kg,[7558.85273358],
lss_cm,output,m,[1.56891576],
lss_I,output,kg*m**2,[ 535.51125472 3256.94743425 3256.94743425],
converter_mass,output,kg,[4196.35],
converter_cm,output,m,[0.    2.88  0.945],
converter_I,output,kg*m**2,[2498.2969725 2498.2969725 2498.2969725],
transformer_mass,output,kg,[11485.],
transformer_cm,output,m,[ 0.    -2.88   0.945],
transformer_I,output,kg*m**2,[6837.59475 6837.59475 6837.59475],
yaw_mass,output,kg,[6144.20363265],
yaw_cm,output,m,[0. 0. 0.],
yaw_I,output,kg*m**2,[0. 0. 0.],
bedplate_mass,output,kg,[36778.43350447],
bedplate_cm,output,m,[-1.20999736  0.          0.68447625],
bedplate_I,output,kg*m**2,"[ 34822.71900788 186890.17942267 212310.63639537      0.
      0.              0.        ]",
hvac_mass,output,kg,[556.65094831],
hvac_cm,output,m,[-4.0897873],
hvac_I,output,m,[279.62055738 139.81027869 139.81027869],
platform_mass,output,kg,[17253.3888],
platform_cm,output,m,[0. 0. 0.],
platform_I,output,m,[ 86136.39335808  86136.39335808 172268.18581248],
cover_mass,output,kg,[3447.19000009],
cover_cm,output,m,[-0.37900026  0.          1.30017387],
cover_I,output,m,[ 53.53885644 125.45879715 119.46818144],
constr_height,output,m,[1.41895249],
L_drive,output,m,[7.60895966],
shaft_start,output,m,[0.         0.         1.41895249],
nacelle_mass,output,kg,[179426.94448341],
nacelle_cm,output,m,[-0.04084305 -0.11699086  1.02090088],
nacelle_I_TT,output,kg*m**2,"[5.83211456e+05 1.01269830e+06 1.02273637e+06 1.04098862e+00
 8.43840751e+03 1.98107696e+04]",
yaw.rho,intermediate,kg/m**3,[7800.],
bear1.mb_max_defl_ang,output,rad,[0.00872665],
bear1.mb_mass,output,kg,[48092.00178654],
bear1.mb_I,output,kg*m**2,[61763.00100246 32072.06011481 32072.06011481],
bear2.mb_max_defl_ang,output,rad,[0.078],
bear2.mb_mass,output,kg,[13479.28387693],
bear2.mb_I,output,kg*m**2,[17243.10356309  8932.60847221  8932.60847221],
mb1_deflection,output,m,[1.38589536e-05],
mb2_deflection,output,m,[4.28283913e-06],
stator_deflection,output,m,[0.00025222],
mb1_angle,output,rad,[9.05729918e-07],
mb2_angle,output,rad,[2.20873855e-06],
stator_angle,output,rad,[0.00055259],
base_F,output,N,"[[ 1121375.02822782]
 [   -7098.23540591]
 [-1826011.84646231]]",
base_M,output,N*m,"[[ 276381.51066717]
 [1738371.67541533]
 [  98107.07885528]]",
bedplate_axial_stress,output,Pa,"[[8.85202900e+04]
 [8.54346331e+05]
 [1.49061073e+05]
 [1.16532104e+06]
 [2.51980757e+06]
 [1.67512276e+07]
 [3.60858381e+06]
 [2.48916038e+06]
 [2.10085411e+06]
 [7.29664023e+04]
 [8.45158142e-02]
 [8.85255661e+04]
 [4.44227468e+05]
 [4.65132060e+05]
 [1.48139996e+06]
 [2.90746060e+06]
 [2.52268423e+07]
 [6.90563111e+06]
 [2.49356096e+06]
 [2.10232103e+06]
 [7.29663745e+04]
 [7.97795193e-02]]",
